Module,BaseAddress,Offset,OffsetName,RegName,Bits,FieldName,Access,Active,Description,"DefaultValue
(After reset)"
ISP_CTRL,4001B/1D,000,c_ctrl,ISP_CTRL,17,CNR_EN,RW,,"模块的开关（bypass）
0: CNR is disbaled 
1: CNR is enabled.",
,,,,,14,ISP_CSM_C_RANGE,RW,,"Color Space Matrix chrominance clipping range for ISP output 
0: CbCr range 64..960 (16..240) according to ITU-R BT.601 standard 
1: full UV range 0..1023 ( 0..255) Numbers in brackets are for 8 bit resolution. 
This bit also configures the YCbCr sequence align block 
accordingly.",
,,,,,13,ISP_CSM_Y_RANGE,RW,,"Color Space Matrix luminance clipping range for ISP output 
0: Y range 64..940 (16..235) according to ITU-R BT.601 
standard 
1: full Y range 0..1023 ( 0..255) 
Numbers in brackets are for 8 bit resolution. 
This bit also configures the YCbCr sequence align block 
accordingly.",
,,,,,11,ISP_GAMMA_OUT_ENABLE,RW,,"模块的开关（bypass）
gamma ON/OFF",
,,,,,10,ISP_GEN_CFG_UPD,RW,,"1: generate frame synchronous configuration signal at the
output of ISP for shadow registers of the following processing
modules, write only",
,,,,,9,ISP_CFG_UPD,RW,,"1: immediately configure (update) shadow registers, write only",
,,,,,8,ISP_CFG_UPD_PERMANENT,RW,,"1: permanent configure (update) shadow registers on frame
end.",
,,,,,7,ISP_AWB_ENABLE,RW,,auto white balance ON/OFF,
,,,,,6,ISP_GAMMA_IN_ENABLE,RW,,Gamma in模块的开关（bypass）,
,,,,,4,ISP_INFORM_ENABLE,RW,,inform模块的开关（bypass）,
,,,,,3:1,ISP_MODE,RW,,"输入信号模式选择：
1. 100: RAW data
2. 000:RAW pic
3. x01:CCIR656
4. x10: CCIR601
5. x11:RGBbayer
此处默认5即可",
isp_inform,4001B/1D,004,c_acq_prop,ISP_ACQ_PROP,1,HSYNC_POL,RW,,行列同步信号的极性选择,
,,,,,2,VSYNC_POL,RW,,,
,,,,,14:12,INPUT_SELECTION,RW,,选择合适的输入类型，数据类型（LSBs、MSBs）,
,,,,,10:9,FIELD_SELECTION,RW,,"可配置的隔行扫描配置器，分别是：
1. 全部
2. 奇数行
3. 偶数行",
,,,,,11,FIELD_INV,RW,,,
,,,,,4:3,BAYER_PAT,RW,,选择不同的bayer阵列配置,
,,008,c_acq_h_offs,ISP_ACQ_H_OFFS,14:0,ACQ_H_OFFS,RW,,选择输出到BLS的采样窗口,
